"Codigo_dpto","Departamento","Cod_municipio","Municipio","Latitud","Longitud","Sexo","Fecha beneficio ó Inicio","Clasificacion Academica","Entidad Organización","Programa","Modalidad","Beneficio"
"76","Valle del Cauca","76,054","ARGELIA","4.7275","-76.1325","F","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,054","ARGELIA","4.7275","-76.1325","F","2024 Dec 02 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Ingeniería Industrial","Virtual","Incentivo completo"
"76","Valle del Cauca","76,054","ARGELIA","4.7275","-76.1325","M","2024 Dec 05 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en Producción Agrícola","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,100","BOLIVAR","4.3331","-76.2317","M","2024 Jun 10 12:00:00 AM","Técnico","Corporación Universitaria Minuto de Dios","Técnico Profesional en Construcción y Operación de Sitios Web","Virtual","Incentivo completo"
"76","Valle del Cauca","76,100","BOLIVAR","4.3331","-76.2317","F","2024 Jun 16 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,100","BOLIVAR","4.3331","-76.2317","M","2024 Jun 15 12:00:00 AM","Tecnología","Sena","Tecnología En Análisis Y Desarrollo De Software","Virtual","Incentivo completo"
"76","Valle del Cauca","76,100","BOLIVAR","4.3331","-76.2317","F","2024 Dec 12 12:00:00 AM","Profesional","Universidad Cooperativa de Colombia","Derecho","Virtual","Incentivo completo"
"76","Valle del Cauca","76,100","BOLIVAR","4.3331","-76.2317","F","2024 Dec 22 12:00:00 AM","Técnico","Fundación Politécnico Minuto de Dios","Técnico Profesional en Creación de Contenidos Digitales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,100","BOLIVAR","4.3331","-76.2317","F","2024 Dec 13 12:00:00 AM","Técnico","Fundación Politécnico Minuto de Dios","Técnico Profesional en Desarrollo de Aplicaciones Web Móviles","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 13 12:00:00 AM","Profesional","Universidad Cooperativa de Colombia","Contaduría Pública","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 12 12:00:00 AM","Profesional","Universidad Cooperativa de Colombia","Contaduría Pública","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Derecho","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 15 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnologia en Logistica Industrial","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Contaduría Pública y Finanzas","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Tecnología","Sena","Tecnología En Coordinación De Procesos Logísticos","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 16 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración Ambiental y de los Recursos Naturales","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 17 12:00:00 AM","Profesional","Universidad del Quindío","Seguridad y Salud en el Trabajo Virtual","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 15 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 11 12:00:00 AM","Técnico","Fundación Politécnico Minuto de Dios","Técnico Profesional en Procesos de Cloud Computing","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 14 12:00:00 AM","Profesional","Universidad del Quindío","Seguridad y Salud en el Trabajo Virtual","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Derecho","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración de Empresas","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 14 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Institución Universitaria Antonio José Camacho","Administración en Salud","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 17 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Administración en Salud","Híbrido","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 15 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Contaduría Pública y Finanzas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 10 12:00:00 AM","Profesional","Universidad Santiago de Cali","Administración de Empresas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Contaduría Pública y Finanzas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 11 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Publicidad en Medios Digitales","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 09 12:00:00 AM","Profesional","Universidad Santiago de Cali","Derecho","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Universidad del Quindío","Seguridad y Salud en el Trabajo Virtual","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","M","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Contaduría Pública y Finanzas","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 17 12:00:00 AM","Tecnología","Sena","Tecnología En Coordinación De Procesos Logísticos","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Tecnología","Universidad Nacional Abierta y a Distancia","Tecnología en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 15 12:00:00 AM","Profesional","Universidad Nacional Abierta y a Distancia","Profesional en seguridad y salud en el trabajo","Virtual","Incentivo completo"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 13 12:00:00 AM","Profesional","Universidad Cooperativa de Colombia","Contaduría Pública","Virtual","Incentivo parcial"
"76","Valle del Cauca","76,109","BUENAVENTURA","3.8801","-77.0312","F","2024 Jun 08 12:00:00 AM","Profesional","Universidad Autónoma de Occidente","Contaduría Pública y Finanzas","Virtual","Incentivo completo"
