"id_solicitud","Fecha_creación","Tipo_solicitud","Es_anonima","Tipo_persona","Estado","Fue_delegada","Fecha_ delego","Fecha_cierre"
"40,471,977,501","14 septiembre 2021 10:04:07","Solicitud de información","NO","Persona jurídica","Cerrada","NO","N/A","15 septiembre 2021 12:20:49"
"40,463,133,601","14 septiembre 2021 10:02:21","Solicitud de información","NO","Persona jurídica","Cerrada","NO","N/A","15 septiembre 2021 12:15:20"
"40,455,549,402","03 septiembre 2021 04:28:54","Petición","NO","Persona jurídica","Abierta","NO","N/A","N/A"
"40,448,712,006","04 agosto 2021 10:25:42","Sugerencia","SI","N/A","Cerrada","NO","N/A","18 agosto 2021 10:22:23"
"40,436,581,006","04 agosto 2021 08:32:40","Sugerencia","SI","N/A","Cerrada","NO","N/A","18 agosto 2021 10:19:01"
"40,422,721,606","26 julio 2021 04:37:59","Sugerencia","SI","N/A","Cerrada","NO","N/A","18 agosto 2021 10:20:12"
"40,418,517,506","17 junio 2021 10:11:19","Sugerencia","SI","N/A","Cerrada","NO","N/A","30 junio 2021 09:17:22"
"40,408,578,202","09 junio 2021 06:54:45","Petición","NO","Persona jurídica","Cerrada","SI","30 junio 2021 09:22:27 Hace 1505 días","30 junio 2021 09:38:04"
"40,394,652,406","09 junio 2021 10:19:10","Sugerencia","SI","N/A","Cerrada","NO","N/A","30 junio 2021 09:35:13"
"40,382,601,606","01 junio 2021 11:32:58","Sugerencia","SI","N/A","Cerrada","NO","N/A","30 junio 2021 09:28:35"
"40,373,222,102","31 mayo 2021 08:26:05","Petición","NO","Persona jurídica","Cerrada","NO","N/A","30 junio 2021 09:27:24"
"40,364,004,816","28 mayo 2021 10:28:54","Sugerencia","SI","N/A","Cerrada","NO","N/A","22 junio 2021 09:26:01"
"40,354,507,801","25 mayo 2021 09:27:43","Solicitud de información","NO","Persona jurídica","Cerrada","NO","N/A","25 mayo 2021 11:15:35"
"40,346,775,202","21 mayo 2021 06:31:53","Petición","NO","Persona natural","Cerrada","NO","N/A","25 mayo 2021 11:16:45"
"40,332,762,002","17 mayo 2021 06:21:34","Petición","NO","Persona jurídica","Cerrada","NO","N/A","25 mayo 2021 11:36:50"
"40,326,399,406","12 mayo 2021 09:08:41","Sugerencia","SI","N/A","Cerrada","NO","N/A","13 mayo 2021 10:56:04"
"40,311,055,001","06 mayo 2021 05:32:03","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","08 mayo 2021 09:10:05"
"40,308,677,802","04 mayo 2021 09:30:29","Petición","NO","Persona jurídica","Cerrada","NO","N/A","08 mayo 2021 10:29:56"
"40,293,676,506","23 abril 2021 09:07:12","Sugerencia","SI","N/A","Cerrada","NO","N/A","08 mayo 2021 09:01:55"
"40,287,928,802","08 abril 2021 03:16:19","Petición","NO","Persona jurídica","Cerrada","NO","N/A","08 mayo 2021 09:08:16"
"40,273,938,806","30 marzo 2021 09:48:52","Sugerencia","SI","N/A","Cerrada","NO","N/A","08 mayo 2021 08:57:17"
"40,267,867,706","25 marzo 2021 02:00:24","Sugerencia","SI","N/A","Cerrada","NO","N/A","13 mayo 2021 11:09:10"
"40,251,552,406","22 marzo 2021 10:53:14","Sugerencia","SI","N/A","Cerrada","NO","N/A","04 mayo 2021 05:11:54"
"40,241,330,102","18 marzo 2021 09:43:20","Petición","NO","Persona jurídica","Cerrada","NO","N/A","04 mayo 2021 05:09:52"
"40,238,495,406","11 marzo 2021 10:40:11","Sugerencia","SI","N/A","Abierta","NO","N/A","N/A"
"40,223,706,206","08 marzo 2021 11:04:41","Sugerencia","SI","N/A","Cerrada","NO","N/A","09 marzo 2021 03:03:31"
"40,213,361,506","07 marzo 2021 11:51:21","Sugerencia","SI","N/A","Cerrada","NO","N/A","09 marzo 2021 03:00:53"
"40,202,547,506","18 febrero 2021 06:20:49","Sugerencia","SI","N/A","Cerrada","NO","N/A","19 febrero 2021 12:30:57"
"40,196,978,206","07 febrero 2021 10:12:25","Sugerencia","SI","N/A","Cerrada","NO","N/A","09 febrero 2021 08:39:49"
"40,185,344,706","01 febrero 2021 10:46:46","Sugerencia","SI","N/A","Cerrada","NO","N/A","09 febrero 2021 08:36:55"
"40,174,218,502","27 enero 2021 08:59:03","Petición","NO","Persona natural","Abierta","SI","09 febrero 2021 08:34:42 Hace 1645 días","N/A"
"40,161,534,416","20 enero 2021 12:33:39","Sugerencia","SI","N/A","Cerrada","NO","N/A","09 febrero 2021 08:30:51"
"40,152,424,502","13 enero 2021 06:16:35","Petición","NO","Persona natural","Abierta","SI","19 enero 2021 06:02:22 Hace 1666 días","N/A"
"40,147,877,006","26 diciembre 2020 06:29:25","Sugerencia","SI","N/A","Cerrada","NO","N/A","19 enero 2021 06:04:46"
"40,134,888,101","15 diciembre 2020 09:17:58","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","19 enero 2021 06:08:12"
"40,122,645,116","14 diciembre 2020 02:37:42","Sugerencia","SI","N/A","Cerrada","NO","N/A","19 enero 2021 06:13:35"
"40,115,047,006","27 noviembre 2020 11:36:20","Sugerencia","SI","N/A","Cerrada","NO","N/A","19 enero 2021 06:14:29"
"40,106,676,302","10 noviembre 2020 11:28:12","Petición","NO","Persona natural","Cerrada","NO","N/A","19 enero 2021 06:03:26"
"40,091,020,106","04 noviembre 2020 08:53:05","Sugerencia","SI","N/A","Cerrada","NO","N/A","19 noviembre 2020 11:58:27"
"40,089,595,802","22 octubre 2020 04:37:43","Petición","NO","Persona jurídica","Cerrada","NO","N/A","19 noviembre 2020 01:15:45"
"40,074,391,801","10 octubre 2020 11:15:19","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","19 enero 2021 06:09:44"
"40,064,321,002","20 agosto 2020 02:41:10","Petición","NO","Persona jurídica","Cerrada","NO","N/A","19 enero 2021 06:17:44"
"40,057,017,802","10 agosto 2020 01:02:41","Petición","NO","Persona jurídica","Cerrada","SI","19 noviembre 2020 01:13:45 Hace 1727 días","19 enero 2021 06:29:15"
